DATA,CO_ID,CL_ID,CL_GENERO,CL_EC,CL_FHL,CL_SEG,PR_ID,PR_CAT,PR_NOME
2019-02-01,2058,428,F,2,0,A,106,LIMPEZA,ODORIZADOR
2019-02-01,2112,72,F,2,0,A,192,HIGIENE,FIXADOR
2019-02-01,2151,493,M,2,4,B,39,ALIMENTOS,LIMAO
2019-02-01,2224,497,M,3,0,B,196,HIGIENE,ESCOVA DE DENTE
2019-02-01,2311,164,M,2,3,A,213,ALIMENTOS,CENOURA
2019-02-01,2327,689,M,2,0,C,177,ALIMENTOS,LIMAO
2019-02-01,2338,99,F,1,4,C,13,ALIMENTOS,BANANA
2019-02-01,2358,866,M,2,2,C,71,HIGIENE,ABSORVENTE
2019-02-01,2390,801,M,1,4,B,23,ALIMENTOS,COGUMELOS
2019-02-01,2424,279,M,1,2,B,221,ALIMENTOS,BANANA
2019-02-01,2522,340,M,3,4,B,223,ALIMENTOS,AZEITONA
2019-02-01,2599,52,F,1,0,A,137,ALIMENTOS,REQUEIJAO
2019-02-01,2668,574,F,2,2,B,113,LIMPEZA,TIRA MANCHA
2019-02-01,2757,328,M,2,0,B,19,ALIMENTOS,CAFE
2019-02-01,2830,466,F,1,0,C,168,ALIMENTOS,MAMAO PAPAYA
2019-02-01,2880,296,F,1,3,B,4,ALIMENTOS,ABACAXI
2019-02-01,2950,149,M,1,3,A,111,LIMPEZA,SABAO EM PO
2019-02-01,2995,406,M,2,4,C,178,HIGIENE,LENCO UMEDECIDO
2019-02-01,3076,458,F,3,4,C,109,LIMPEZA,RODO
2019-02-01,3157,776,F,2,0,B,59,ALIMENTOS,SALGADINHO
2019-02-01,3220,746,M,3,0,C,142,BEBIDAS,REFRIGERANTE LARANJA
2019-02-01,3305,45,M,2,0,A,48,ALIMENTOS,OVOS
2019-02-01,3395,798,M,5,2,B,188,ALIMENTOS,HAMBUGUER
2019-02-01,3444,709,F,3,0,B,154,HIGIENE,PRESERVATIVO
2019-02-01,3461,796,M,2,3,B,13,ALIMENTOS,BANANA
2019-02-01,3523,878,F,4,3,C,16,ALIMENTOS,BIFE DE COXAO MOLE
2019-02-01,3561,888,F,4,2,B,21,ALIMENTOS,CENOURA
2019-02-01,3634,246,M,2,2,B,78,HIGIENE,FRALDA
2019-02-01,3689,433,M,3,3,B,18,ALIMENTOS,BROCOLIS
2019-02-01,3763,433,M,3,3,B,84,HIGIENE,PAPEL HIGIENICO
2019-02-01,3855,545,M,2,2,B,18,ALIMENTOS,BROCOLIS
2019-02-01,3949,943,F,1,0,C,67,BEBIDAS,REFRIGERANTE GUARANA
2019-02-01,3950,429,M,4,0,C,223,ALIMENTOS,AZEITONA
2019-02-01,3970,56,F,2,3,B,134,LIMPEZA,SABAO
2019-02-01,4009,922,M,1,0,B,47,ALIMENTOS,MORTADELA
2019-02-01,4017,305,F,4,0,B,69,BEBIDAS,REFRIGERANTE LIMaO
2019-02-01,4064,453,F,1,0,B,203,ALIMENTOS,DANETTE
2019-02-01,4113,236,M,2,2,C,76,HIGIENE,FIO DENTAL
2019-02-01,4153,193,F,4,0,B,201,LIMPEZA,DESINFETANTE
2019-02-01,4246,927,M,1,1,C,215,ALIMENTOS,CAFE
2019-02-01,4251,594,F,3,1,C,82,HIGIENE,LENCO UMEDECIDO
2019-02-01,4307,333,F,2,0,C,206,ALIMENTOS,CORACAO DE FRANGO
2019-02-01,4382,199,M,3,3,B,62,ALIMENTOS,SNACKS
2019-02-01,4459,973,F,4,0,B,73,HIGIENE,CREME
2019-02-01,4521,686,F,3,2,A,93,LIMPEZA,AGUA SANITARIA
2019-02-01,4578,523,M,3,0,B,189,ALIMENTOS,GRANOLA
2019-02-01,4581,406,M,2,4,C,123,LIMPEZA,TIRA MANCHA
2019-02-01,4680,225,M,4,0,C,62,ALIMENTOS,SNACKS
2019-09-01,4755,82,F,1,1,C,203,ALIMENTOS,DANETTE
2019-09-01,4823,362,F,3,0,B,119,PET,RACAO UMIDA PARA GATOS
2019-09-01,4906,394,M,1,0,B,182,ALIMENTOS,LATA DE ERVILHA
2019-09-01,5000,243,F,1,4,C,53,ALIMENTOS,PRESUNTO COZIDO
2019-09-01,5038,652,F,4,0,B,186,HIGIENE,HIDRATANTE
2019-09-01,5082,160,F,3,4,B,223,ALIMENTOS,AZEITONA
2019-09-01,5151,79,F,2,0,C,86,HIGIENE,PRESERVATIVO
2019-09-01,5165,151,F,1,0,B,53,ALIMENTOS,PRESUNTO COZIDO
2019-09-01,5198,933,M,2,2,B,159,ALIMENTOS,PAO DE FORMA
2019-09-01,5279,6,F,2,0,B,53,ALIMENTOS,PRESUNTO COZIDO
2019-09-01,5305,322,M,2,0,B,80,HIGIENE,HASTES FLEXIVEIS
2019-09-01,5329,663,F,4,0,B,66,BEBIDAS,REFRIGERANTE COLA
2019-09-01,5407,459,F,3,2,B,215,ALIMENTOS,CAFE
2019-09-01,5506,761,F,1,4,B,129,ALIMENTOS,SARDINHA
2019-09-01,5524,384,F,3,2,C,178,HIGIENE,LENCO UMEDECIDO
2019-09-01,5578,707,M,4,0,B,132,HIGIENE,SABONETE
2019-09-01,5583,954,F,4,2,B,59,ALIMENTOS,SALGADINHO
2019-09-01,5678,227,F,3,0,C,92,HIGIENE,TINTURAS
2019-09-01,5693,458,F,3,4,C,81,HIGIENE,HIDRATANTE
2019-09-01,5773,804,F,4,3,B,169,ALIMENTOS,MAMAO
2019-09-01,5872,462,F,4,0,A,89,HIGIENE,SABONETE
2019-09-01,5959,283,M,4,1,B,43,ALIMENTOS,MAMAO PAPAYA
2019-09-01,5998,25,M,4,1,C,75,HIGIENE,ESCOVA DE DENTE
2019-09-01,6061,842,M,5,2,B,181,ALIMENTOS,LATA DE MILHO
2019-09-01,6085,348,F,3,0,A,202,LIMPEZA,DESENGORDURANTE
2019-09-01,6142,757,F,4,3,C,220,ALIMENTOS,BATATA
2019-09-01,6166,44,F,4,0,C,91,HIGIENE,TALCO
2019-09-01,6176,332,F,3,4,C,59,ALIMENTOS,SALGADINHO
2019-09-01,6243,38,M,3,0,B,178,HIGIENE,LENCO UMEDECIDO
2019-09-01,6268,257,M,1,4,C,165,ALIMENTOS,MOLHO BARBECUE
2019-09-01,6303,886,F,5,1,B,104,LIMPEZA,LIMPADOR PERFUMADO
2019-09-01,6336,4,M,4,0,B,106,LIMPEZA,ODORIZADOR
2019-09-01,6428,865,F,1,0,B,25,ALIMENTOS,CORACAO DE FRANGO
2019-09-01,6497,982,M,4,3,B,143,BEBIDAS,REFRIGERANTE GUARANA
2019-09-01,6531,516,M,1,0,C,17,ALIMENTOS,BISCOITO
2019-09-01,6623,443,F,4,0,C,125,HIGIENE,TINTURAS
2019-09-01,6669,996,F,1,4,B,172,LIMPEZA,LUSTRA MOVEIS
2019-09-01,6740,847,M,4,2,A,168,ALIMENTOS,MAMAO PAPAYA
2019-09-01,6800,408,F,4,0,B,37,ALIMENTOS,LEITE
2019-09-01,6805,369,F,3,4,C,38,ALIMENTOS,LEITE CONDENSADO
2019-09-01,6813,502,M,4,0,C,186,HIGIENE,HIDRATANTE
2019-09-01,6879,163,F,3,0,A,126,HIGIENE,TALCO
2019-09-01,6883,171,F,3,1,B,201,LIMPEZA,DESINFETANTE
2019-09-01,6912,597,M,3,0,C,164,ACESSORIOS,MORDEDOR
2019-09-01,6922,289,F,3,4,C,172,LIMPEZA,LUSTRA MOVEIS
2019-09-01,6975,521,F,1,0,A,214,ALIMENTOS,CEBOLA
2019-09-01,7042,770,M,2,3,B,32,ALIMENTOS,HAMBUGUER
2019-09-01,7118,42,M,2,2,B,6,ALIMENTOS,ALHO
2019-09-01,7158,517,F,3,1,B,169,ALIMENTOS,MAMAO
2019-09-01,7164,628,M,3,0,B,100,LIMPEZA,DETERGENTE
2019-09-01,7243,59,M,2,0,A,63,ALIMENTOS,TOMATE
2019-09-01,7286,418,M,2,2,A,106,LIMPEZA,ODORIZADOR
2019-09-01,7329,113,F,3,0,B,206,ALIMENTOS,CORACAO DE FRANGO
2019-09-01,7361,756,F,1,4,B,103,LIMPEZA,LIMPADOR MULTIUSO
2019-09-01,7378,933,M,2,2,B,116,PET,RACAO SECA PARA CAES
2019-09-01,7380,506,F,4,3,B,21,ALIMENTOS,CENOURA
2019-09-01,7410,991,F,2,2,C,75,HIGIENE,ESCOVA DE DENTE
2019-09-01,7419,773,M,4,0,B,208,HIGIENE,CONDICIONADOR
2019-09-01,7439,525,M,1,4,B,81,HIGIENE,HIDRATANTE
2019-09-01,7481,52,F,1,0,A,94,LIMPEZA,ALCOOL
2019-09-01,7563,174,M,4,3,C,197,HIGIENE,ENXAGUANTE BUCAL
2019-09-01,7599,498,M,3,2,B,13,ALIMENTOS,BANANA
2019-09-01,7634,921,M,2,3,B,84,HIGIENE,PAPEL HIGIENICO
2019-09-01,7711,916,F,3,4,C,175,LIMPEZA,LIMPADOR MULTIUSO
2019-09-01,7784,96,F,1,1,C,137,ALIMENTOS,REQUEIJAO
2019-09-01,7865,957,M,2,3,B,170,ALIMENTOS,MACARRAO INSTANTANEO
2019-09-01,7882,110,M,3,0,C,198,BEBIDAS,ENERGETICO
2019-09-01,7894,740,F,1,4,C,154,HIGIENE,PRESERVATIVO
2019-09-01,7915,780,M,3,2,B,141,BEBIDAS,REFRIGERANTE LIMaO
2019-09-01,7928,350,F,5,1,B,47,ALIMENTOS,MORTADELA
2019-09-01,8004,768,F,4,0,B,148,PET,RACAO SECA PARA CAES
2019-09-01,8022,892,F,4,2,B,28,ALIMENTOS,DOCE
2019-09-01,8120,75,M,1,0,B,37,ALIMENTOS,LEITE
2019-09-01,8218,880,M,3,2,B,33,ALIMENTOS,IOGURTE
2019-09-01,8250,583,F,2,0,B,139,LIMPEZA,REMOVEDOR
2019-09-01,8291,580,M,3,0,B,171,ALIMENTOS,MACARRAO
2019-09-01,8330,539,M,2,0,C,146,PET,RACAO UMIDA PARA CAES
2019-09-01,8333,560,M,2,0,B,60,ALIMENTOS,SALGADINHOS DE MILHO
2019-09-01,8410,645,F,4,0,B,26,ALIMENTOS,COXA E SOBRECOXA DE FRANGO
2019-09-01,8476,978,F,3,0,C,44,ALIMENTOS,MAMAO
2019-09-01,8562,831,F,4,2,B,82,HIGIENE,LENCO UMEDECIDO
2019-09-01,8613,830,F,5,1,B,153,ALIMENTOS,PRESUNTO COZIDO
2019-09-01,8701,651,F,2,0,B,105,LIMPEZA,LUSTRA MOVEIS
2019-09-01,8799,583,F,2,0,B,90,HIGIENE,SHAMPOO
2019-01-13,8878,814,M,4,0,B,122,ALIMENTOS,TOMATE
2019-01-13,8974,815,F,2,4,B,92,HIGIENE,TINTURAS
2019-01-13,9064,301,F,3,0,C,216,ALIMENTOS,BROCOLIS
2019-01-13,9158,122,M,3,3,B,12,ALIMENTOS,AZEITONA
2019-01-13,9215,750,M,2,2,C,129,ALIMENTOS,SARDINHA
2019-01-13,9248,802,M,1,1,B,212,LIMPEZA,CERA
2019-01-13,9329,351,F,2,2,B,64,ALIMENTOS,UVA
2019-01-13,9352,304,F,2,3,B,58,ALIMENTOS,RICOTA
2019-01-13,9368,847,M,4,2,A,140,BEBIDAS,REFRIGERANTE OUTROS
2019-01-13,9456,143,F,1,4,B,218,ALIMENTOS,BIFE DE COXAO MOLE
2019-01-13,9545,433,M,3,3,B,87,HIGIENE,PROTETOR SOLAR
2019-01-13,9560,935,F,2,0,B,205,ALIMENTOS,COXA E SOBRECOXA DE FRANGO
2019-01-13,9607,512,M,4,0,B,152,ALIMENTOS,PRESUNTO COZIDO
2019-01-13,9696,552,M,4,0,B,194,ALIMENTOS,FILE DE PEIXE
2019-01-13,9755,759,F,3,0,B,228,LIMPEZA,AMACIANTE
2019-01-13,9826,487,F,3,0,C,136,ALIMENTOS,RICOTA
2019-01-13,9862,691,M,4,0,B,154,HIGIENE,PRESERVATIVO
2019-01-13,9939,828,F,2,4,B,138,HIGIENE,REPELENTE
2019-01-13,10008,425,F,3,0,B,130,ALIMENTOS,SALGADINHOS DE MILHO
2019-01-13,10051,659,F,2,2,B,53,ALIMENTOS,PRESUNTO COZIDO
2019-01-13,10056,17,M,4,0,B,142,BEBIDAS,REFRIGERANTE LARANJA
2019-01-13,10106,464,M,2,2,B,210,ACESSORIOS,CHUPETA
2019-01-13,10126,742,M,1,1,C,87,HIGIENE,PROTETOR SOLAR
2019-01-13,10139,884,F,3,2,C,50,ALIMENTOS,PAO DE FORMA
2019-01-13,10192,325,M,1,3,B,21,ALIMENTOS,CENOURA
2019-01-13,10254,83,M,1,4,B,76,HIGIENE,FIO DENTAL
2019-01-13,10263,391,F,2,0,A,49,ALIMENTOS,PALMITO
2019-01-13,10326,785,M,1,4,C,71,HIGIENE,ABSORVENTE
2019-01-13,10421,812,F,2,0,A,62,ALIMENTOS,SNACKS
2019-01-13,10453,398,F,4,1,B,95,LIMPEZA,AMACIANTE
2019-01-13,10483,206,F,3,1,C,61,ALIMENTOS,SARDINHA
2019-01-13,10541,491,M,2,1,A,196,HIGIENE,ESCOVA DE DENTE
2019-01-13,10595,463,M,3,3,B,101,LIMPEZA,INSETICIDA
2019-01-13,10670,246,M,2,2,B,144,BEBIDAS,REFRIGERANTE COLA
2019-01-13,10722,510,F,4,0,B,41,ALIMENTOS,MACARRAO
2019-01-19,10776,537,F,1,4,B,178,HIGIENE,LENCO UMEDECIDO
2019-01-19,10807,898,F,4,0,C,27,ALIMENTOS,DANETTE
2019-01-19,10808,425,F,3,0,B,193,HIGIENE,FIO DENTAL
2019-01-19,10869,482,M,4,2,B,205,ALIMENTOS,COXA E SOBRECOXA DE FRANGO
2019-01-19,10900,527,F,4,1,B,31,ALIMENTOS,GRANOLA
2019-01-19,10944,5,F,4,3,C,6,ALIMENTOS,ALHO
2019-01-19,10954,34,M,2,0,C,9,ALIMENTOS,ARROZ INTEGRAL
2019-01-19,11035,971,F,1,2,A,66,BEBIDAS,REFRIGERANTE COLA
2019-01-19,11095,571,F,2,0,B,21,ALIMENTOS,CENOURA
2019-01-19,11100,460,F,1,3,B,98,LIMPEZA,DESENGORDURANTE
2019-01-23,11112,551,M,1,0,C,77,HIGIENE,FIXADOR
2019-01-23,11181,717,F,3,0,B,95,LIMPEZA,AMACIANTE
2019-01-23,11195,926,M,1,0,B,100,LIMPEZA,DETERGENTE
2019-01-23,11270,951,M,2,0,B,3,ALIMENTOS,ABACATE
2019-01-23,11272,626,M,3,1,C,127,ALIMENTOS,SNACKS
2019-01-23,11279,914,M,2,4,B,127,ALIMENTOS,SNACKS
2019-01-23,11288,735,F,4,0,B,62,ALIMENTOS,SNACKS
2019-01-23,11376,166,F,1,0,B,190,HIGIENE,GEL
2019-01-23,11454,883,M,1,0,B,156,HIGIENE,PASTA DE DENTE
2019-01-23,11508,710,F,3,1,C,70,BEBIDAS,REFRIGERANTE OUTROS
2019-01-23,11607,337,M,3,0,B,161,ALIMENTOS,OVOS
2019-01-23,11626,897,M,2,1,C,154,HIGIENE,PRESERVATIVO
2019-01-23,11679,387,M,2,2,B,196,HIGIENE,ESCOVA DE DENTE
2019-01-23,11740,768,F,4,0,B,110,LIMPEZA,SABAO
2019-01-23,11792,245,F,4,3,B,24,ALIMENTOS,COPA SUINA
2019-01-23,11800,421,M,3,3,C,128,HIGIENE,SHAMPOO
2019-01-23,11843,938,M,1,4,B,101,LIMPEZA,INSETICIDA
2019-01-23,11923,115,M,4,0,B,31,ALIMENTOS,GRANOLA
2019-01-23,11982,42,M,2,2,B,102,LIMPEZA,LIMPA VIDROS
2019-01-23,11983,750,M,2,2,C,36,ALIMENTOS,LATA DE MILHO
2019-01-23,12044,110,M,3,0,C,112,LIMPEZA,TIRA LIMO
2019-01-23,12110,589,F,3,2,C,100,LIMPEZA,DETERGENTE
2019-01-23,12159,10,M,1,0,B,87,HIGIENE,PROTETOR SOLAR
2019-01-29,12251,15,M,2,1,C,116,PET,RACAO SECA PARA CAES
2019-01-29,12295,472,M,2,1,C,209,ALIMENTOS,COGUMELOS
2019-01-29,12344,969,M,1,3,B,126,HIGIENE,TALCO
2019-01-29,12414,243,F,1,4,C,40,ALIMENTOS,LINGUICA
2019-01-29,12457,842,M,5,2,B,24,ALIMENTOS,COPA SUINA
2019-01-29,12550,39,M,2,0,C,190,HIGIENE,GEL
2019-01-29,12580,359,F,1,0,B,190,HIGIENE,GEL
2019-01-29,12649,536,M,4,0,B,18,ALIMENTOS,BROCOLIS
2019-01-29,12655,570,F,4,1,C,198,BEBIDAS,ENERGETICO
2019-01-29,12717,766,F,1,0,B,111,LIMPEZA,SABAO EM PO
2019-01-29,12748,790,F,3,0,B,77,HIGIENE,FIXADOR
2019-01-29,12754,987,F,1,0,B,77,HIGIENE,FIXADOR
2019-01-29,12783,684,F,3,0,C,101,LIMPEZA,INSETICIDA
2019-01-29,12870,625,F,4,0,C,42,ALIMENTOS,MACARRAO INSTANTANEO
2019-01-29,12887,408,F,4,0,B,11,ALIMENTOS,AZEITE
2019-01-29,12913,192,F,4,0,B,168,ALIMENTOS,MAMAO PAPAYA
2019-01-29,12930,630,M,1,2,C,12,ALIMENTOS,AZEITONA
2019-01-29,13002,799,M,4,3,C,22,ALIMENTOS,CHA
2019-01-29,13037,751,F,2,0,B,94,LIMPEZA,ALCOOL
2019-01-29,13068,396,F,1,0,B,149,ALIMENTOS,QUEIJO MUSSARELA
2019-01-29,13112,57,M,2,0,B,106,LIMPEZA,ODORIZADOR
2019-01-29,13197,71,F,3,1,B,5,ALIMENTOS,ACHOCOLATADO
2019-01-29,13266,396,F,1,0,B,214,ALIMENTOS,CEBOLA
2019-01-29,13284,310,M,4,3,C,21,ALIMENTOS,CENOURA
2019-01-29,13350,171,F,3,1,B,147,PET,RACAO SECA PARA GATOS
2019-01-29,13414,279,M,1,2,B,184,ALIMENTOS,IOGURTE
2019-01-29,13444,20,M,4,0,B,6,ALIMENTOS,ALHO
2019-01-29,13455,82,F,1,1,C,154,HIGIENE,PRESERVATIVO
2019-01-29,13460,303,M,3,4,B,44,ALIMENTOS,MAMAO
2019-01-29,13476,629,M,3,0,C,42,ALIMENTOS,MACARRAO INSTANTANEO
2019-01-29,13555,828,F,2,4,B,102,LIMPEZA,LIMPA VIDROS
2019-01-29,13638,455,F,2,0,C,199,ALIMENTOS,DOCE
2019-01-29,13695,447,M,2,0,B,218,ALIMENTOS,BIFE DE COXAO MOLE
2019-01-29,13721,603,M,3,0,B,43,ALIMENTOS,MAMAO PAPAYA
2019-01-29,13773,734,F,4,2,B,86,HIGIENE,PRESERVATIVO
2019-01-29,13788,971,F,1,2,A,29,ALIMENTOS,FEIJAO
2019-01-29,13836,872,M,3,4,A,38,ALIMENTOS,LEITE CONDENSADO
2019-01-29,13868,908,M,3,2,C,48,ALIMENTOS,OVOS
2019-01-29,13935,960,F,4,2,B,221,ALIMENTOS,BANANA
2019-01-29,13992,533,F,4,0,A,17,ALIMENTOS,BISCOITO
2019-01-29,14046,869,F,3,0,B,40,ALIMENTOS,LINGUICA
2019-01-29,14063,524,F,4,3,C,1,ACESSORIOS,CHUPETA
2019-01-29,14076,157,M,1,1,C,9,ALIMENTOS,ARROZ INTEGRAL
2019-01-29,14094,251,F,2,0,C,219,ALIMENTOS,BATATA DOCE
2019-01-29,14158,476,M,3,0,C,21,ALIMENTOS,CENOURA
2019-01-29,14249,975,F,3,0,B,213,ALIMENTOS,CENOURA
2019-01-29,14347,577,M,4,0,C,63,ALIMENTOS,TOMATE
2019-01-29,14418,753,F,1,3,C,178,HIGIENE,LENCO UMEDECIDO
2019-01-29,14421,335,F,3,0,C,194,ALIMENTOS,FILE DE PEIXE
2019-01-29,14422,752,M,3,0,C,52,ALIMENTOS,PATE
2019-01-29,14448,457,M,3,0,C,30,ALIMENTOS,FILE DE PEIXE
2019-01-29,14486,567,F,1,0,C,71,HIGIENE,ABSORVENTE
2019-01-29,14497,392,M,2,2,C,153,ALIMENTOS,PRESUNTO COZIDO
2019-01-29,14518,901,F,4,1,B,191,HIGIENE,FRALDA
2019-01-29,14597,427,M,3,0,B,29,ALIMENTOS,FEIJAO
2019-01-29,14605,389,F,3,0,C,129,ALIMENTOS,SARDINHA
2019-01-29,14644,810,M,1,0,B,180,ALIMENTOS,LEITE
2019-01-29,14704,187,M,2,1,B,215,ALIMENTOS,CAFE
2019-01-29,14741,10,M,1,0,B,15,ALIMENTOS,BATATA DOCE
2019-01-29,14816,792,F,2,0,B,87,HIGIENE,PROTETOR SOLAR
2019-01-29,14822,657,M,2,3,B,53,ALIMENTOS,PRESUNTO COZIDO
2019-01-29,14876,488,M,3,2,B,77,HIGIENE,FIXADOR
2019-01-29,14940,871,F,1,3,C,84,HIGIENE,PAPEL HIGIENICO
2019-01-29,15013,448,F,2,0,A,54,ALIMENTOS,PRESUNTO COZIDO
2019-01-29,15106,61,M,1,2,B,75,HIGIENE,ESCOVA DE DENTE
2019-01-29,15130,675,M,4,0,B,55,ALIMENTOS,QUEIJO DE CABRA
2019-01-29,15174,965,M,3,0,B,76,HIGIENE,FIO DENTAL
2019-01-29,15197,742,M,1,1,C,43,ALIMENTOS,MAMAO PAPAYA
2019-01-29,15227,976,M,4,2,B,43,ALIMENTOS,MAMAO PAPAYA
2019-01-29,15229,299,F,3,1,C,167,ALIMENTOS,MANGA
2019-01-29,15319,368,M,4,0,C,170,ALIMENTOS,MACARRAO INSTANTANEO
2019-01-29,15410,121,F,1,2,B,145,PET,RACAO UMIDA PARA GATOS
2019-01-29,15412,129,M,2,0,A,139,LIMPEZA,REMOVEDOR
2019-01-29,15481,956,M,5,1,C,148,PET,RACAO SECA PARA CAES
2019-01-29,15526,565,F,1,2,B,33,ALIMENTOS,IOGURTE
2019-01-29,15606,300,F,1,3,C,213,ALIMENTOS,CENOURA
2019-01-29,15625,884,F,3,2,C,24,ALIMENTOS,COPA SUINA
2019-01-29,15628,237,F,4,3,C,216,ALIMENTOS,BROCOLIS
2019-01-29,15703,994,M,4,0,C,19,ALIMENTOS,CAFE
2019-01-29,15772,87,M,3,2,A,129,ALIMENTOS,SARDINHA
2019-05-02,15869,275,M,4,0,B,206,ALIMENTOS,CORACAO DE FRANGO
2019-05-02,15909,444,F,2,0,B,45,ALIMENTOS,MANGA
2019-05-02,15951,475,F,4,3,B,106,LIMPEZA,ODORIZADOR
2019-05-02,16049,267,F,4,2,B,100,LIMPEZA,DETERGENTE
2019-05-02,16128,222,F,4,0,B,167,ALIMENTOS,MANGA
2019-05-02,16221,468,M,3,1,C,144,BEBIDAS,REFRIGERANTE COLA
2019-05-02,16295,934,F,2,2,B,132,HIGIENE,SABONETE
2019-05-02,16366,591,M,4,1,B,20,ALIMENTOS,CEBOLA
2019-05-02,16381,60,F,2,3,B,65,BEBIDAS,ENERGETICO
2019-05-02,16441,855,M,4,1,C,102,LIMPEZA,LIMPA VIDROS
2019-05-02,16469,980,F,1,0,B,191,HIGIENE,FRALDA
2019-05-02,16559,188,M,2,2,B,171,ALIMENTOS,MACARRAO
2019-05-02,16577,715,F,3,4,B,27,ALIMENTOS,DANETTE
2019-05-02,16605,493,M,2,4,B,112,LIMPEZA,TIRA LIMO
2019-05-02,16636,522,M,1,2,A,20,ALIMENTOS,CEBOLA
2019-05-02,16703,473,F,4,3,B,180,ALIMENTOS,LEITE
2019-05-02,16707,499,M,3,0,B,170,ALIMENTOS,MACARRAO INSTANTANEO
2019-05-02,16753,686,F,3,2,A,91,HIGIENE,TALCO
2019-05-02,16766,626,M,3,1,C,168,ALIMENTOS,MAMAO PAPAYA
2019-05-02,16847,383,M,1,3,C,224,ALIMENTOS,AZEITE
2019-05-02,16912,200,F,3,0,B,59,ALIMENTOS,SALGADINHO
2019-05-02,17001,724,M,1,0,B,91,HIGIENE,TALCO
2019-05-02,17072,315,F,3,0,B,208,HIGIENE,CONDICIONADOR
2019-05-02,17107,830,F,5,1,B,8,ALIMENTOS,ARROZ
2019-05-02,17201,523,M,3,0,B,126,HIGIENE,TALCO
2019-05-02,17268,766,F,1,0,B,113,LIMPEZA,TIRA MANCHA
2019-05-02,17356,433,M,3,3,B,184,ALIMENTOS,IOGURTE
2019-05-02,17368,614,F,4,1,B,130,ALIMENTOS,SALGADINHOS DE MILHO
2019-05-02,17453,495,F,2,3,A,18,ALIMENTOS,BROCOLIS
2019-05-02,17503,820,M,1,4,B,225,ALIMENTOS,ATUM
2019-05-02,17565,539,M,2,0,C,152,ALIMENTOS,PRESUNTO COZIDO
2019-05-02,17659,721,M,3,2,C,110,LIMPEZA,SABAO
2019-05-02,17686,61,M,1,2,B,204,HIGIENE,CREME
2019-05-02,17689,908,M,3,2,C,222,LIMPEZA,BALDE
2019-05-02,17710,70,F,4,0,B,187,HIGIENE,HASTES FLEXIVEIS
2019-05-02,17756,512,M,4,0,B,140,BEBIDAS,REFRIGERANTE OUTROS
2019-05-02,17841,709,F,3,0,B,110,LIMPEZA,SABAO
2019-05-02,17850,795,F,4,2,B,221,ALIMENTOS,BANANA
2019-05-02,17920,161,M,5,2,B,22,ALIMENTOS,CHA
2019-05-02,17936,634,F,2,0,C,71,HIGIENE,ABSORVENTE
2019-05-02,17982,270,F,3,1,B,85,HIGIENE,PASTA DE DENTE
2019-05-02,18056,769,F,3,3,C,36,ALIMENTOS,LATA DE MILHO
2019-05-02,18076,140,F,1,0,C,171,ALIMENTOS,MACARRAO
2019-05-02,18125,589,F,3,2,C,156,HIGIENE,PASTA DE DENTE
2019-05-02,18178,353,M,1,2,B,114,LIMPEZA,VASSOURA
2019-05-02,18236,337,M,3,0,B,183,ALIMENTOS,KETCHUP
2019-05-02,18242,408,F,4,0,B,200,LIMPEZA,DETERGENTE
